EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,0,1,2,0,0,3,0,11,kristjan; epideemia; port; sihtrühm; informatsioon; viirus
3,2,0,1,2,0,0,3,0,11,kristjan; epideemia; port; sihtrühm; informatsioon; viirus
3,2,0,1,2,0,0,3,0,11,kristjan; epideemia; port; sihtrühm; informatsioon; viirus
3,2,0,1,2,0,0,3,0,11,kristjan; epideemia; port; sihtrühm; informatsioon; viirus
3,2,0,1,2,0,0,3,0,11,kristjan; epideemia; port; sihtrühm; informatsioon; viirus
3,2,0,1,2,0,0,3,0,11,kristjan; epideemia; port; sihtrühm; informatsioon; viirus
3,2,0,1,2,0,0,3,0,11,kristjan; epideemia; port; sihtrühm; informatsioon; viirus
3,2,1,1,2,0,0,3,0,11,kristjan; epideemia; port; sihtrühm; informatsioon; viirus
3,1,1,2,2,0,0,3,0,11,kristjan; informatsioon; sihtrühm; port; viirus
2,1,0,2,1,0,0,3,0,11,kristjan; informatsioon; port; viirus
2,1,0,3,1,0,0,2,0,11,kristjan; epideemia; port; informatsioon; viirus
