EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,2,0,1,2,6,3,0,12,portaal; nobel; relv; port; internet; mõjuvõim; rahupreemia; veebiteenus
1,1,2,0,1,2,6,3,0,12,portaal; nobel; relv; port; internet; mõjuvõim; rahupreemia; veebiteenus
1,1,2,0,1,2,6,3,0,12,portaal; nobel; relv; port; internet; mõjuvõim; rahupreemia; veebiteenus
1,1,2,0,1,2,6,3,0,12,portaal; nobel; relv; port; internet; mõjuvõim; rahupreemia; veebiteenus
1,1,2,0,1,2,6,3,0,12,portaal; nobel; relv; port; internet; mõjuvõim; rahupreemia; veebiteenus
1,1,2,0,1,2,6,3,0,12,portaal; nobel; relv; port; internet; mõjuvõim; rahupreemia; veebiteenus
1,1,2,0,1,2,6,3,0,12,portaal; nobel; relv; port; internet; mõjuvõim; rahupreemia; veebiteenus
0,1,2,0,1,3,6,3,0,12,portaal; nobel; relv; port; internet; rahupreemia; veebiteenus
0,1,2,2,1,2,6,4,0,12,portaal; nobel; relv; port; internet; rahupreemia; veebiteenus
1,0,2,0,1,4,5,5,0,12,portaal; nobel; relv; port; internet; mõjuvõim; rahupreemia; veebiteenus
1,1,2,1,1,3,5,5,0,12,portaal; nobel; relv; port; kristjan; internet; mõjuvõim; veebiteenus
