EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,0,0,0,0,3,2,14,ebaõnnestumine; näitleja; lenk; marje
1,1,1,0,0,0,0,3,2,14,ebaõnnestumine; näitleja; lenk; marje
1,1,1,0,0,0,0,3,2,14,ebaõnnestumine; näitleja; lenk; marje
1,1,1,0,0,0,0,3,2,14,ebaõnnestumine; näitleja; lenk; marje
1,1,1,0,0,0,0,3,2,14,ebaõnnestumine; näitleja; lenk; marje
1,1,1,0,0,0,1,3,2,14,ebaõnnestumine; näitleja; lenk; marje
3,1,1,0,0,0,1,3,2,14,ebaõnnestumine; näitleja; lenk; marje
0,0,1,1,0,0,1,4,2,14,ebaõnnestumine; lavakunstikateeder; näitleja; lenk; marje
2,1,1,0,0,1,0,4,2,14,viktor; näitleja; marje; ebaõnnestumine; õpilane; lavakunstikateeder; lenk
1,1,1,0,0,1,1,4,2,14,ebaõnnestumine; lavakunstikateeder; näitleja; lenk; marje
1,2,1,0,0,0,1,4,2,14,ebaõnnestumine; lavakunstikateeder; näitleja; lenk; marje
