EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,1,0,4,1,2,1,1,13,mõjutamine; relv; mass; tehnoloogiaettevõte; internet; reguleerimata; inforuum; kasum; idealism
2,2,1,0,4,1,2,1,0,13,mõjutamine; relv; mass; tehnoloogiaettevõte; internet; reguleerimata; inforuum; kasum; idealism
2,2,1,0,4,1,2,1,0,13,mõjutamine; relv; mass; tehnoloogiaettevõte; internet; reguleerimata; inforuum; kasum; idealism
2,2,1,0,4,1,2,1,0,13,mõjutamine; relv; mass; tehnoloogiaettevõte; internet; reguleerimata; inforuum; kasum; idealism
2,2,1,0,4,1,2,1,0,13,mõjutamine; relv; mass; tehnoloogiaettevõte; internet; reguleerimata; inforuum; kasum; idealism
2,2,1,0,4,1,2,1,0,13,mõjutamine; relv; mass; tehnoloogiaettevõte; internet; reguleerimata; inforuum; kasum; idealism
2,2,0,0,4,2,2,1,0,13,mõjutamine; relv; suhtlusplatvorm; kasum; mass; internet; reguleerimata; inforuum; tehnoloogiaettevõte; idealism
1,2,0,0,4,3,3,2,0,13,mõjutamine; relv; suhtlusplatvorm; mass; tehnoloogiaettevõte; internet; reguleerimata; inforuum; kasum; idealism
2,2,0,2,4,4,3,1,0,13,suhtlusplatvorm; mõjutamine; relv; kasum; mass; internet; reguleerimata; inforuum; tehnoloogiaettevõte; idealism
1,3,1,3,4,4,3,2,0,13,mõjutamine; relv; suhtlusplatvorm; kasum; mass; idealism; internet; regulatsioon; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
0,2,0,2,4,4,3,3,0,13,relv; suhtlusplatvorm; mass; tehnoloogiaettevõte; internet; reguleerimata; inforuum; kasum; idealism
