EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,1,1,1,0,0,1,0,12,tabel; neodüüm; braseodüüm; klaas; mikrofon; lantano; muldmetall
2,4,1,1,1,0,0,1,0,12,tabel; neodüüm; braseodüüm; klaas; mikrofon; lantano; muldmetall
2,4,1,1,1,0,0,1,0,12,tabel; neodüüm; braseodüüm; klaas; mikrofon; lantano; muldmetall
2,4,1,1,1,0,0,1,0,12,tabel; neodüüm; braseodüüm; klaas; mikrofon; lantano; muldmetall
2,4,1,1,1,0,0,1,0,12,tabel; neodüüm; braseodüüm; klaas; mikrofon; lantano; muldmetall
2,4,1,1,1,0,0,1,0,12,tabel; neodüüm; braseodüüm; klaas; mikrofon; lantano; muldmetall
2,4,1,1,1,0,0,1,0,12,tabel; neodüüm; braseodüüm; klaas; mikrofon; lantano; muldmetall
2,4,1,1,1,0,0,1,0,12,tabel; neodüüm; braseodüüm; klaas; mikrofon; lantano; muldmetall
2,4,1,1,1,0,0,1,0,12,tabel; neodüüm; braseodüüm; klaas; mikrofon; lantano; muldmetall
2,4,1,1,1,0,0,1,0,12,tabel; neodüüm; braseodüüm; klaas; mikrofon; lantano; muldmetall
2,4,1,1,1,0,0,1,0,12,tabel; neodüüm; braseodüüm; klaas; mikrofon; lantano; muldmetall
