EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,2,1,2,3,3,4,4,10,sajand; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
1,3,2,1,2,3,3,4,4,10,sajand; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
1,3,2,1,2,3,3,4,4,10,sajand; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
1,3,2,1,2,3,3,4,4,10,sajand; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
1,3,2,1,2,3,3,4,3,10,sajand; mees; piibujutt; tüdruk; autojuht
1,3,2,1,2,3,3,4,3,10,sajand; mees; piibujutt; tüdruk; autojuht
1,3,2,1,2,3,3,4,3,10,sajand; mees; piibujutt; tüdruk; autojuht
1,3,2,1,2,3,3,4,3,10,sajand; mees; piibujutt; tüdruk; autojuht
1,3,2,1,2,3,3,4,3,10,sajand; mees; piibujutt; tüdruk; autojuht
1,3,2,1,2,3,3,4,3,10,sajand; mees; piibujutt; tüdruk; autojuht
1,3,2,1,2,3,3,4,3,10,sajand; mees; piibujutt; tüdruk; autojuht
