EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,1,2,1,0,0,1,1,11,tabel; neodüüm; mendelejev; klaas; aktiivne; valgus; muldmetall
3,4,1,2,1,0,0,1,1,11,tabel; neodüüm; mendelejev; klaas; aktiivne; valgus; muldmetall
3,4,1,2,1,0,0,1,1,11,tabel; neodüüm; mendelejev; klaas; aktiivne; valgus; muldmetall
3,4,1,2,1,0,0,1,1,11,tabel; neodüüm; mendelejev; klaas; aktiivne; valgus; muldmetall
3,4,1,2,1,0,0,1,1,11,tabel; neodüüm; mendelejev; klaas; aktiivne; valgus; muldmetall
3,4,1,2,1,0,0,1,1,11,tabel; neodüüm; mendelejev; klaas; aktiivne; valgus; muldmetall
3,4,1,2,1,0,0,1,1,11,tabel; neodüüm; mendelejev; klaas; aktiivne; valgus; muldmetall
3,4,1,2,1,0,0,1,1,11,tabel; neodüüm; mendelejev; klaas; aktiivne; valgus; muldmetall
3,4,1,2,1,0,0,1,1,11,tabel; neodüüm; mendelejev; klaas; aktiivne; valgus; muldmetall
3,4,1,2,1,0,0,1,1,11,tabel; neodüüm; mendelejev; klaas; aktiivne; valgus; muldmetall
3,4,1,2,1,0,0,1,1,11,tabel; neodüüm; mendelejev; klaas; aktiivne; valgus; muldmetall
