EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,0,0,4,3,6,2,12,külalisesinemine; teatritrupp; riiklik; näitleja; draamatrupp; vanemuine; tšehhoslovakkia; teater
3,3,3,0,0,4,3,6,2,12,külalisesinemine; teatritrupp; riiklik; näitleja; draamatrupp; vanemuine; tšehhoslovakkia; teater
3,3,3,0,0,4,3,6,2,12,külalisesinemine; teatritrupp; riiklik; näitleja; draamatrupp; vanemuine; tšehhoslovakkia; teater
3,3,3,0,0,4,3,6,2,12,külalisesinemine; teatritrupp; riiklik; näitleja; draamatrupp; vanemuine; tšehhoslovakkia; teater
3,3,3,0,0,4,3,6,2,12,külalisesinemine; teatritrupp; riiklik; näitleja; draamatrupp; vanemuine; tšehhoslovakkia; teater
3,3,3,0,0,4,3,6,3,12,külalisesinemine; teatritrupp; riiklik; näitleja; draamatrupp; vanemuine; tšehhoslovakkia; teater
3,3,3,0,0,4,3,6,2,12,külalisesinemine; teatritrupp; riiklik; näitleja; draamatrupp; vanemuine; tšehhoslovakkia; teater
3,3,3,0,0,4,3,6,3,12,külalisesinemine; teatritrupp; riiklik; näitleja; draamatrupp; vanemuine; tšehhoslovakkia; teater
3,3,4,1,0,4,3,6,3,12,külalisesinemine; teatritrupp; riiklik; näitleja; draamatrupp; vanemuine; tšehhoslovakkia; teater
3,3,4,2,0,4,3,6,3,12,külalisesinemine; teatritrupp; riiklik; näitleja; draamatrupp; vanemuine; tšehhoslovakkia; teater
3,3,4,1,0,4,3,6,3,12,külalisesinemine; teatritrupp; riiklik; näitleja; draamatrupp; vanemuine; tšehhoslovakkia; teater
