EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,6,8,2,5,5,6,6,10,laulusõna; suvepäev; akordion; noor; lõuna-eesti; tants; pillimäng; naine; pillimees; vana
7,8,6,8,2,5,5,6,5,10,laulusõna; suvepäev; akordion; noor; lõuna-eesti; tants; pillimäng; naine; pillimees; vana
7,8,6,8,2,5,5,6,5,10,laulusõna; suvepäev; akordion; noor; lõuna-eesti; tants; pillimäng; naine; pillimees; vana
7,7,7,8,2,5,5,6,4,10,laulusõna; suvepäev; akordion; noor; lõuna-eesti; tants; pillimäng; naine; pillimees; vana
7,7,7,8,2,5,5,6,5,10,laulusõna; suvepäev; akordion; noor; lõuna-eesti; tants; pillimäng; naine; pillimees; vana
7,7,7,8,2,5,5,6,4,10,laulusõna; suvepäev; akordion; noor; lõuna-eesti; tants; pillimäng; naine; pillimees; vana
6,7,8,8,2,5,5,6,4,10,laulusõna; suvepäev; akordion; noor; lõuna-eesti; tants; pillimäng; naine; pillimees; vana
7,7,7,5,2,5,6,6,4,10,laulusõna; suvepäev; noor; akordion; lõuna-eesti; tants; pillimäng; naine; pillimees; vana
6,8,7,8,2,4,5,7,4,10,laulusõna; suvepäev; noor; akordion; lõuna-eesti; tants; pillimäng; naine; pillimees; vana
4,8,8,7,2,5,5,7,5,10,laulusõna; suvepäev; noor; akordion; lõuna-eesti; tants; pillimäng; naine; pillimees; vana
4,8,9,7,4,5,5,8,5,10,naine; tants; laulusõna; vana; suvepäev; noor; akordion; lõuna-eesti; pillimäng; pillimees
