EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,1,1,0,1,1,1,0,13,põhjavesi; joogivesi; joogiveemäärus
1,0,1,1,0,1,1,1,0,13,põhjavesi; joogivesi; joogiveemäärus
1,0,1,1,0,1,1,1,0,13,põhjavesi; joogivesi; joogiveemäärus
1,0,1,1,0,1,1,1,0,13,põhjavesi; joogivesi; joogiveemäärus
1,0,2,1,0,1,1,1,0,13,põhjavesi; veevarustussüsteem; joogiveemäärus; joogivesi
1,0,2,1,0,1,1,2,0,13,põhjavesi; veevarustussüsteem; joogiveemäärus; joogivesi
0,0,2,0,0,0,1,2,0,13,veevarustussüsteem; joogivesi; joogiveemäärus
0,0,2,0,0,0,0,1,0,13,veevarustussüsteem; joogivesi
0,0,1,0,0,0,0,2,0,13,joogivesi; joogiveemäärus
0,0,1,0,1,0,1,2,0,13,joogivesi; joogiveemäärus
0,0,1,0,1,0,0,2,0,13,joogivesi; joogiveemäärus
