EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,2,0,0,0,2,0,0,13,kliima; paul; toomas
0,1,2,0,0,0,2,0,0,13,kliima; paul; toomas
0,1,2,0,0,0,2,0,0,13,kliima; paul; toomas
0,1,2,0,0,0,2,0,0,13,kliima; paul; toomas
0,1,2,0,0,0,2,0,0,13,kliima; paul; toomas
0,1,2,0,0,0,2,0,0,13,kliima; paul; toomas
0,1,1,0,0,0,1,0,0,13,kliima; paul
0,1,0,0,0,0,1,1,0,13,kliima; paul
0,0,1,0,0,0,1,1,0,13,kliima; paul
0,0,0,0,0,0,1,1,0,13,paul
0,0,0,0,0,0,1,0,0,13,paul
