EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,2,2,1,2,2,2,3,10,mäng; trump; saatus; laul
3,1,2,2,1,2,2,2,3,10,mäng; trump; saatus; laul
3,1,2,2,1,2,2,2,3,10,mäng; trump; saatus; laul
3,1,2,2,1,2,2,2,3,10,mäng; trump; saatus; laul
3,1,2,2,1,2,2,2,3,10,mäng; trump; saatus; laul
3,1,2,2,1,2,2,2,3,10,mäng; trump; saatus; laul
3,1,2,2,1,2,2,2,3,10,mäng; trump; saatus; laul
3,1,2,2,1,2,2,2,3,10,mäng; trump; saatus; laul
3,1,2,2,1,2,2,2,3,10,mäng; trump; saatus; laul
3,1,2,2,1,2,2,2,3,10,mäng; trump; saatus; laul
3,1,2,2,1,2,2,2,3,10,mäng; trump; saatus; laul
