EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,0,0,0,0,0,1,0,11,paavel; apaatsus
1,0,1,0,0,0,0,1,0,11,paavel; apaatsus
1,0,1,0,0,0,0,1,0,11,paavel; apaatsus
1,0,1,0,1,1,0,1,0,11,signe; apaatsus; paavel
1,0,2,0,1,2,1,1,0,11,ants; signe; apaatsus; paavel
1,0,1,0,1,2,2,1,0,11,ants; signe; apaatsus; paavel
1,0,2,0,1,2,1,1,0,11,ants; signe; apaatsus; paavel
1,0,2,1,1,3,1,1,0,11,ants; signe; apaatsus; paavel
1,0,2,1,1,2,2,0,0,11,ants; signe; apaatsus
1,0,1,1,1,2,1,1,0,11,ants; signe; apaatsus
1,1,0,1,1,2,1,0,0,11,signe; ants; paavel; apaatsus
