EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,1,1,1,0,1,1,1,11,kuuskemaa; perekond; näitleja; estonia
3,1,1,1,1,0,1,1,1,11,kuuskemaa; perekond; näitleja; estonia
3,1,1,1,1,0,1,1,1,11,kuuskemaa; perekond; näitleja; estonia
3,1,1,1,1,0,1,1,1,11,kuuskemaa; perekond; näitleja; estonia
3,2,2,1,1,0,1,1,1,11,perekond; kuuskemaa; näitleja; estonia
3,3,3,1,1,0,1,1,1,11,perekond; kuuskemaa; näitleja; teater; estonia
3,2,3,2,1,0,1,3,2,11,kuuskemaa; perekond; näitleja; teater; estonia
2,1,2,1,1,0,0,3,2,11,kuuskemaa; näitleja; teater; estonia
2,2,3,1,1,1,0,3,2,11,kuuskemaa; perekond; näitleja; teater; estonia
2,1,1,2,1,1,0,2,3,11,kuuskemaa; perekond; näitleja; teater; estonia
2,1,0,2,0,1,1,4,3,11,kuuskemaa; perekond; näitleja; teater; estonia
