EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,0,1,3,0,1,0,1,13,kasumi; reguleerimata; maksimeerimine
0,2,0,1,3,0,1,0,1,13,kasumi; reguleerimata; maksimeerimine
0,2,0,1,3,0,1,0,1,13,kasumi; reguleerimata; maksimeerimine
0,2,0,1,3,0,1,0,1,13,kasumi; reguleerimata; maksimeerimine
0,2,0,1,3,0,1,0,1,13,kasumi; reguleerimata; maksimeerimine
0,2,0,1,3,0,1,0,1,13,kasumi; reguleerimata; maksimeerimine
0,2,0,1,3,1,1,0,1,13,kasumi; reguleerimata; masside; maksimeerimine
2,2,0,0,3,1,1,0,1,13,kasumi; reguleerimata; masside; maksimeerimine
2,2,1,1,3,0,1,1,1,13,kasumi; reguleerimata; masside; maksimeerimine
1,2,0,3,3,0,1,1,1,13,kasumi; reguleerimata; maksimeerimine
1,0,0,3,3,0,1,2,2,13,kasumi; reguleerimata; masside; maksimeerimine
