EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,7,4,4,6,6,6,6,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
5,7,7,4,4,6,6,6,6,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
5,7,7,4,4,6,6,7,7,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
5,7,7,4,5,7,6,7,7,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
5,7,7,5,5,7,6,7,7,11,austraalia; reis; maa; hoolitsema; rändama; mulje; sugulane
5,7,7,5,6,7,6,7,6,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
7,7,7,6,6,7,5,7,6,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
7,7,7,7,6,7,5,6,7,11,austraalia; reis; maa; hoolitsema; rändama; mulje; sugulane
7,7,7,7,6,7,6,7,6,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
7,7,7,6,6,7,7,6,7,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
7,7,7,6,6,7,7,6,7,11,reis; austraalia; maa; hoolitsema; rändama; mulje; sugulane
