EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,8,4,6,8,8,9,9,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
5,6,8,4,5,8,7,9,9,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
5,6,8,4,5,8,7,9,9,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
4,6,8,4,6,7,7,9,9,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
4,6,9,5,7,7,7,9,8,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
5,7,9,5,7,8,7,9,8,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
7,7,9,6,9,8,7,7,6,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
6,7,8,8,9,8,6,8,8,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
7,7,7,7,7,8,8,6,7,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
5,7,7,8,6,7,6,7,6,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
6,7,7,8,6,7,7,6,5,11,töö; tennis; jooksma; liikuma; pension; doktor; tervis; laur; noor
