EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,9,8,7,8,9,9,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
9,9,9,9,8,7,9,9,9,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
9,9,9,9,8,7,9,9,9,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
9,9,9,9,8,9,9,9,9,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
9,9,9,9,8,9,9,9,9,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
9,9,9,9,8,9,9,9,9,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
9,9,9,8,9,9,9,9,9,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
9,9,9,7,8,9,9,9,9,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
9,9,9,9,8,9,9,9,9,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
9,9,9,8,8,9,9,9,9,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
9,9,9,8,8,9,9,9,9,12,lasteporno; tarkus; port; arhiveerima; john; kristjan; mccain; lamar; jälitamiskohustus
