EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,7,7,7,5,7,7,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
7,7,7,7,7,7,6,7,7,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
7,7,7,7,7,7,7,7,7,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
7,7,7,7,7,7,7,7,7,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
7,7,7,7,7,7,7,7,7,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
7,7,7,7,7,7,7,7,7,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
7,7,7,7,7,7,7,7,7,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
7,7,7,7,7,7,7,7,7,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
7,7,7,7,7,7,7,7,7,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
7,7,7,7,7,7,7,7,7,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
7,7,7,7,7,7,7,7,7,13,aeg; port; surfaja; kristjan; uudis; internet; tehnoloogia
