EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,6,6,5,5,5,6,12,nsv; sõprus; draamatrupp; tšehhoslovakkia; teatritrupp; näitlejad
6,6,6,6,6,5,5,6,6,12,nsv; sõprus; draamatrupp; tšehhoslovakkia; teatritrupp; näitlejad
6,6,6,6,6,5,5,6,6,12,nsv; sõprus; draamatrupp; tšehhoslovakkia; teatritrupp; näitlejad
6,6,6,6,6,5,5,6,6,12,nsv; sõprus; draamatrupp; tšehhoslovakkia; teatritrupp; näitlejad
6,6,6,6,6,5,5,6,6,12,nsv; sõprus; draamatrupp; tšehhoslovakkia; teatritrupp; näitlejad
6,6,6,6,6,5,5,6,6,12,nsv; sõprus; draamatrupp; tšehhoslovakkia; teatritrupp; näitlejad
6,6,6,6,6,5,6,6,6,12,nsv; sõprus; draamatrupp; tšehhoslovakkia; teatritrupp; näitlejad
6,6,6,6,6,6,6,6,6,12,nsv; sõprus; draamatrupp; tšehhoslovakkia; teatritrupp; näitlejad
6,6,6,6,6,6,6,6,6,12,nsv; sõprus; draamatrupp; tšehhoslovakkia; teatritrupp; näitlejad
6,6,6,6,6,6,6,6,6,12,nsv; sõprus; draamatrupp; tšehhoslovakkia; teatritrupp; näitlejad
6,6,6,6,6,6,6,6,6,12,nsv; sõprus; draamatrupp; tšehhoslovakkia; teatritrupp; näitlejad
