EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,12,12,11,11,11,12,11,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
11,12,12,12,11,11,11,12,11,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
11,12,12,12,11,11,11,12,11,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
11,12,12,12,11,12,11,12,11,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
12,12,12,12,11,11,11,12,11,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
12,12,12,12,11,11,12,12,11,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
12,12,12,12,11,12,11,12,11,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
12,11,12,12,11,12,12,12,11,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
12,11,12,12,12,11,12,12,11,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
12,11,12,12,12,12,12,12,12,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
12,11,12,12,12,12,12,12,12,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
