EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,6,10,6,8,9,10,10,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
5,7,6,10,6,8,9,10,10,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
5,7,6,10,6,8,9,10,10,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
5,7,6,10,6,8,9,10,10,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
5,7,6,10,6,8,9,10,10,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
5,7,6,10,6,8,9,10,10,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
5,7,6,10,6,8,9,10,10,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
5,7,6,10,6,8,9,10,10,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
5,7,6,10,6,8,9,10,10,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
5,7,6,10,6,8,9,10,10,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
5,7,6,10,6,8,9,10,10,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
