EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,5,10,10,9,9,10,9,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
10,10,7,10,10,9,9,10,9,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
10,10,9,10,10,9,9,10,10,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
10,10,9,10,10,9,9,10,10,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
10,10,10,10,10,10,9,10,10,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
10,10,10,10,10,10,9,10,10,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
10,10,10,10,10,10,9,10,10,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
10,10,10,10,10,10,10,10,10,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
10,10,10,10,10,10,9,10,10,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
10,10,10,10,10,10,9,10,10,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
10,10,10,10,10,10,10,10,10,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
