EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,5,4,2,4,4,2,2,12,eesti; venemaa; eurole; hamas; vasaktsentrist; inflatsioon
4,5,5,4,2,4,4,3,2,12,eesti; venemaa; eurole; hamas; vasaktsentrist; inflatsioon
3,5,5,4,2,4,4,4,2,12,eesti; venemaa; eurole; hamas; vasaktsentrist; inflatsioon
4,5,5,4,3,4,4,3,2,12,eesti; venemaa; eurole; hamas; vasaktsentrist; inflatsioon
3,5,5,4,4,4,4,4,2,12,eesti; venemaa; eurole; hamas; vasaktsentrist; inflatsioon
3,6,6,5,4,4,5,3,2,12,eesti; venemaa; eurole; hamas; vasaktsentrist; inflatsioon
3,4,3,5,3,5,5,5,2,12,eesti; venemaa; eurole; hamas; vasaktsentrist; inflatsioon
2,4,5,4,4,5,5,5,2,12,eesti; venemaa; eurole; hamas; vasaktsentrist; inflatsioon
2,3,5,3,4,6,5,2,2,12,eesti; venemaa; eurole; hamas; vasaktsentrist; inflatsioon
2,4,3,3,4,4,6,4,2,12,eesti; venemaa; eurole; hamas; vasaktsentrist; inflatsioon
3,3,4,3,4,5,6,4,1,12,eesti; venemaa; eurole; hamas; vasaktsentrist; inflatsioon
