EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,8,6,5,6,7,7,6,13,õpetamine; laps; lugema; käär; merike; lili; keel; vanem
7,7,8,6,5,6,7,7,6,13,õpetamine; laps; lugema; käär; merike; lili; keel; vanem
7,7,7,5,5,6,7,7,6,13,õpetamine; laps; lugema; käär; merike; lili; keel; vanem
7,6,7,5,6,6,7,7,6,13,õpetamine; laps; lugema; käär; merike; lili; keel; vanem
7,6,6,5,6,6,6,6,6,13,õpetamine; laps; lugema; käär; merike; lili; keel; vanem
7,5,6,6,5,6,5,7,6,13,õpetamine; laps; lugema; käär; merike; lili; keel; vanem
7,4,6,8,7,8,5,7,6,13,õpetamine; laps; lugema; käär; merike; lili; keel; vanem
6,4,6,7,7,7,7,7,5,13,õpetamine; laps; lugema; käär; merike; lili; keel; vanem
6,5,6,7,7,7,7,7,5,13,õpetamine; laps; lugema; käär; merike; lili; keel; vanem
6,5,6,7,7,7,7,8,5,13,õpetamine; laps; lugema; käär; merike; lili; keel; vanem
6,5,6,7,6,7,7,8,5,13,õpetamine; laps; lugema; käär; merike; lili; keel; vanem
