EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,9,9,9,9,9,9,12,mendelejev; braseodüüm; klaas; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
9,9,9,9,9,9,9,9,9,12,mendelejev; braseodüüm; klaas; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
9,9,9,9,9,9,9,9,9,12,mendelejev; braseodüüm; klaas; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
9,9,9,9,9,9,9,9,9,12,mendelejev; braseodüüm; klaas; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
9,9,9,9,9,9,9,9,9,12,mendelejev; braseodüüm; klaas; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
9,9,9,9,9,9,9,9,9,12,mendelejev; braseodüüm; klaas; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
9,9,9,9,9,9,9,9,9,12,mendelejev; braseodüüm; klaas; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
9,9,9,9,9,9,9,9,9,12,mendelejev; braseodüüm; klaas; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
9,9,9,9,9,9,9,9,9,12,mendelejev; braseodüüm; klaas; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
9,9,9,9,9,9,9,9,9,12,mendelejev; braseodüüm; klaas; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
9,9,9,9,9,9,9,9,9,12,mendelejev; braseodüüm; klaas; kõlar; muldmetall; tabel; neodüüm; mikrofon; lantano
