EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,0,0,0,2,1,1,2,12,isa; ori; kannatlikkus; vabaks; sõna; jumala
2,2,0,0,0,2,1,1,3,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,2,0,0,0,2,1,1,3,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,2,0,0,0,2,1,1,3,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,2,0,0,0,2,1,1,3,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,2,0,0,0,2,1,1,3,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,2,0,0,0,2,1,1,3,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,2,0,0,0,2,1,1,3,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,2,0,0,0,2,1,1,3,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,2,0,0,0,2,1,1,3,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
2,2,0,0,0,2,1,1,3,12,kannatlikkus; vabaks; jumala; isa; ori; sõna
