EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,1,0,0,0,2,1,0,13,surmapatt; kõrkus; käegalöömine
1,2,1,0,0,0,2,1,0,13,surmapatt; kõrkus; käegalöömine
1,2,1,0,0,0,2,1,0,13,surmapatt; kõrkus; käegalöömine
1,2,1,0,0,0,2,1,0,13,surmapatt; kõrkus; käegalöömine
1,2,1,0,0,0,2,1,0,13,surmapatt; kõrkus; käegalöömine
1,2,2,0,0,0,2,1,0,13,surmapatt; kõrkus; käegalöömine
1,2,2,0,0,0,2,1,0,13,surmapatt; kõrkus; käegalöömine
2,2,2,0,0,0,1,1,0,13,hüpertroofia; surmapatt; kõrkus; käegalöömine
2,2,2,0,0,1,2,1,0,13,hüpertroofia; surmapatt; aegunud; kõrkus; käegalöömine
1,2,1,0,0,1,1,1,0,13,hüpertroofia; surmapatt; aegunud; kõrkus; käegalöömine
0,1,1,0,0,1,1,1,0,13,surmapatt; aegunud; kõrkus; käegalöömine
