EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,2,1,1,2,2,3,0,13,eesti; harri; puhkpillikvintett; tants
2,0,2,2,1,2,2,3,0,13,eesti; harri; puhkpillikvintett; tants
2,0,2,2,1,2,2,3,0,13,eesti; harri; puhkpillikvintett; tants
2,0,2,2,1,2,2,3,0,13,eesti; harri; puhkpillikvintett; tants
2,0,2,2,1,2,2,3,0,13,eesti; harri; puhkpillikvintett; tants
1,0,2,2,1,2,2,3,0,13,eesti; harri; puhkpillikvintett; tants
1,1,1,2,1,2,3,3,0,13,eesti; harri; sümfooniaorkester; puhkpillikvintett; tants
2,1,1,1,1,3,3,3,0,13,eesti; harri; sümfooniaorkester; puhkpillikvintett; reimann; matti; tants
2,0,0,2,1,3,2,1,0,13,klaverikontsert; eesti; sümfooniaorkester; puhkpillikvintett; tants
2,0,0,2,1,3,3,2,0,13,eesti; harri; sümfooniaorkester; puhkpillikvintett; tants
2,0,0,1,1,2,3,1,0,13,eesti; harri; sümfooniaorkester; puhkpillikvintett; tants
