EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,3,1,3,1,2,2,2,11,piloot; leningrad; eesti; volga
3,0,3,1,3,1,2,2,2,11,piloot; leningrad; eesti; volga
3,0,3,1,3,1,2,2,3,11,piloot; leningrad; eesti; volga
3,0,4,1,3,2,2,2,3,11,piloot; leningrad; eesti; volga
3,0,4,1,2,2,2,2,3,11,piloot; leningrad; eesti; volga
3,0,3,2,2,2,2,2,3,11,piloot; leningrad; eesti; volga
2,2,2,4,3,3,2,4,4,11,piloot; leningrad; eesti; volga
1,2,2,3,3,2,2,4,4,11,piloot; leningrad; eesti; volga
1,2,3,3,3,3,3,3,4,11,piloot; leningrad; eesti; volga
1,2,2,3,3,2,3,2,3,11,piloot; leningrad; eesti; volga
1,2,1,4,3,2,3,1,2,11,piloot; leningrad; eesti; volga
