EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,12,13,11,7,12,12,13,8,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelepoliitika; keelterikas; keeleõpe; keeleoskus
11,12,13,11,7,12,12,13,8,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelepoliitika; keelterikas; keeleõpe; keeleoskus
11,12,12,11,7,12,12,13,8,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelepoliitika; keelterikas; keeleõpe; keeleoskus
11,13,12,11,7,12,12,13,9,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelepoliitika; keelterikas; keeleõpe; keeleoskus
11,13,12,11,7,12,12,13,9,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelepoliitika; keelterikas; keeleõpe; keeleoskus
13,13,13,12,7,13,12,13,9,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelterikas; keelepoliitika; keeleõpe; keeleoskus
13,13,13,10,7,13,13,13,9,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelepoliitika; keelterikas; keeleõpe; keeleoskus
13,11,11,10,7,12,13,13,9,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelepoliitika; keelterikas; keeleõpe; keeleoskus
11,11,10,9,8,11,12,12,10,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelepoliitika; keelterikas; keeleõpe; keeleoskus
9,11,13,12,10,9,12,12,10,13,võõrkeel; haridussüsteem; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelepoliitika; keelterikas; keeleõpe; keeleoskus
10,11,11,9,9,8,11,11,10,13,haridussüsteem; võõrkeel; raamdokument; riigikeel; euroopa; mitmekeelsus; kolmkeelsus; inglise; keel; keelepoliitika; keelterikas; keeleõpe; keeleoskus
