EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,3,4,3,4,5,4,4,11,orkester; sport; ingeli; oboe; repertuaar
5,3,4,4,3,4,5,4,5,11,orkester; sport; ingeli; oboe; repertuaar
5,3,4,4,3,4,5,5,5,11,orkester; sport; ingeli; oboe; repertuaar
5,3,3,4,4,4,4,5,5,11,orkester; sport; ingeli; oboe; repertuaar
4,3,4,4,4,4,4,5,5,11,orkester; sport; ingeli; oboe; repertuaar
4,3,5,5,5,4,5,5,5,11,orkester; sport; oboe; ingeli; repertuaar
4,3,5,5,5,5,4,5,4,11,orkester; sport; oboe; ingeli; repertuaar
4,3,5,5,5,4,5,5,4,11,orkester; sport; oboe; ingeli; repertuaar
5,3,5,5,5,4,5,4,4,11,orkester; sport; ingeli; oboe; repertuaar
5,4,5,4,4,2,4,5,4,11,orkester; sport; ingeli; oboe; repertuaar
5,4,5,4,5,3,3,4,4,11,orkester; sport; ingeli; oboe; repertuaar
