EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,10,9,8,10,10,10,10,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
10,9,10,9,8,10,10,10,10,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
10,9,10,9,9,10,10,10,10,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
10,9,10,9,9,10,10,10,10,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
10,9,10,9,9,10,10,10,10,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
10,9,10,9,9,10,10,10,10,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
10,9,10,10,9,10,10,10,10,10,ameerika; euroopa; sport; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
10,9,10,10,10,10,10,10,10,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
10,9,10,10,10,10,10,10,10,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
10,9,10,10,10,10,10,10,10,10,ameerika; euroopa; sport; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
10,9,10,10,10,10,10,10,10,10,ameerika; euroopa; sport; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
