EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,0,1,1,1,1,0,0,11,käsikiri; vaenlased; abitu; kriitika; rahutu
2,1,0,1,1,1,1,0,0,11,käsikiri; vaenlased; abitu; kriitika; rahutu
2,1,0,1,1,1,1,0,0,11,käsikiri; vaenlased; abitu; kriitika; rahutu
2,1,0,1,1,1,1,0,0,11,käsikiri; vaenlased; abitu; kriitika; rahutu
2,1,0,1,1,1,1,0,0,11,käsikiri; vaenlased; abitu; kriitika; rahutu
2,1,0,1,1,1,1,0,0,11,käsikiri; vaenlased; abitu; kriitika; rahutu
2,1,0,1,1,1,1,0,0,11,käsikiri; vaenlased; abitu; kriitika; rahutu
1,1,0,0,1,1,2,1,0,11,käsikiri; vaenlased; abitu; kriitika; rahutu
2,1,1,0,1,1,2,1,0,11,käsikiri; vaenlased; abitu; kriitika; rahutu
2,0,1,1,1,2,2,1,0,11,vaenlased; abitu; kriitika; rahutu
1,0,2,1,1,2,2,1,0,11,käsikiri; vaenlased; abitu; kriitika; rahutu
