EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,2,3,1,3,2,5,2,12,lill; koit; robert; friedrich; päike; faehlmann; taevas; hämarik
6,3,2,3,1,3,2,5,2,12,lill; koit; robert; friedrich; päike; faehlmann; taevas; hämarik
6,3,2,3,1,3,2,5,2,12,lill; koit; robert; friedrich; päike; faehlmann; taevas; hämarik
6,3,2,3,1,3,2,5,2,12,lill; koit; robert; friedrich; päike; faehlmann; taevas; hämarik
6,3,2,3,1,3,2,5,0,12,lill; koit; robert; friedrich; päike; faehlmann; taevas; hämarik
6,3,2,3,1,3,2,5,0,12,lill; koit; robert; friedrich; päike; faehlmann; taevas; hämarik
6,3,2,3,1,3,2,5,0,12,lill; koit; robert; friedrich; päike; faehlmann; taevas; hämarik
6,3,2,3,1,3,2,5,0,12,lill; koit; robert; friedrich; päike; faehlmann; taevas; hämarik
5,3,5,2,1,3,2,5,0,12,koit; robert; friedrich; päike; faehlmann; taevas; lind; hämarik
6,3,2,4,1,3,2,5,0,12,koit; robert; friedrich; päike; faehlmann; taevas; lind; hämarik
5,3,4,5,2,2,2,5,0,12,koit; robert; friedrich; päike; faehlmann; taevas; hämarik
