EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,0,1,0,0,0,0,0,11,rahvatantsupidu; sport
1,2,0,1,0,0,0,0,1,11,rahvatantsupidu; sport; kihnu
1,2,0,1,0,0,0,0,1,11,rahvatantsupidu; sport; kihnu
1,2,0,1,0,0,0,0,1,11,rahvatantsupidu; sport; kihnu
1,2,0,1,0,0,0,0,1,11,rahvatantsupidu; sport; kihnu
1,2,0,1,0,0,0,0,1,11,rahvatantsupidu; sport; kihnu
1,2,0,0,0,0,0,0,1,11,rahvatantsupidu; sport; kihnu
1,1,0,1,0,0,0,0,1,11,rahvatantsupidu; sport; kihnu
1,1,0,1,0,0,0,0,1,11,sport; kihnu
1,1,0,1,0,0,0,1,1,11,sport; kihnu
1,1,0,1,0,0,0,1,1,11,sport; kihnu
