EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,3,0,0,1,3,1,0,15,tootmisliin; iisrael; alatskivi; janukovitš; viktor; tallinna
0,1,3,0,0,1,3,1,0,15,tootmisliin; iisrael; alatskivi; janukovitš; viktor; tallinna
0,1,3,0,0,1,3,1,0,15,tootmisliin; alatskivi; janukovitš; viktor; tallinna
0,1,3,0,0,1,3,1,0,15,tootmisliin; alatskivi; janukovitš; viktor; tallinna
0,1,3,0,0,1,2,1,0,15,tootmisliin; alatskivi; janukovitš; viktor; tallinna
1,1,3,0,0,0,1,1,0,15,tootmisliin; alatskivi; janukovitš; viktor; tallinna
0,1,3,2,0,1,2,1,0,15,tootmisliin; alatskivi; janukovitš; viktor; tallinna
1,1,3,2,0,3,2,1,0,15,vare; tootmisliin; viktor; janukovitš; alatskivi; kai; tallinna
1,1,3,1,0,3,2,2,0,15,vare; tootmisliin; iisrael; viktor; janukovitš; alatskivi; kai; tallinna
0,1,3,2,0,2,2,2,0,15,tootmisliin; iisrael; alatskivi; kai; janukovitš; viktor; tallinna
0,1,2,0,0,3,2,1,0,15,vare; tootmisliin; alatskivi; kai; janukovitš; viktor; tallinna
