EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,0,2,3,0,1,0,2,13,reguleerimata; masside; maksimeerimine; kasumi
2,1,0,2,3,0,1,0,2,13,reguleerimata; masside; maksimeerimine; kasumi
2,1,0,2,3,0,1,0,2,13,reguleerimata; masside; maksimeerimine; kasumi
2,1,0,2,3,0,1,0,2,13,reguleerimata; masside; maksimeerimine; kasumi
2,1,0,2,3,0,1,0,2,13,reguleerimata; masside; maksimeerimine; kasumi
2,1,0,2,3,0,1,0,2,13,reguleerimata; masside; maksimeerimine; kasumi
3,1,0,2,3,0,1,0,2,13,reguleerimata; masside; maksimeerimine; kasumi
2,1,0,3,3,1,1,1,2,13,reguleerimata; masside; maksimeerimine; kasumi
3,1,0,4,3,2,1,1,2,13,maksimeerimine; kasumi; reguleerimata; masside
1,1,0,3,3,2,1,1,2,13,reguleerimata; masside; maksimeerimine; kasumi
1,1,0,2,3,2,1,1,3,13,reguleerimata; masside; maksimeerimine; kasumi
