EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,5,4,2,3,5,2,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
5,3,5,4,2,4,5,2,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
5,3,5,4,2,4,5,2,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
5,3,5,4,4,4,5,2,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
5,3,5,3,4,4,5,3,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
5,4,5,3,4,4,5,3,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
5,4,5,4,4,4,5,3,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
2,4,4,4,5,4,5,3,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
2,4,5,5,5,4,4,3,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
1,4,5,5,5,4,4,5,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
1,4,5,5,5,3,4,5,0,11,epideemia; kuritegevus; port; kristjan; sihtrühm
