EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,3,4,1,2,2,2,0,10,klassikatähed; ebapopulaarne; oboemängija; hobi
3,4,3,4,1,2,2,2,0,10,klassikatähed; ebapopulaarne; oboemängija; hobi
3,4,3,4,1,2,2,2,0,10,klassikatähed; ebapopulaarne; oboemängija; hobi
3,4,3,4,1,2,2,2,0,10,klassikatähed; ebapopulaarne; oboemängija; hobi
3,4,3,4,1,2,2,2,0,10,klassikatähed; ebapopulaarne; oboemängija; hobi
3,3,4,3,1,3,2,4,0,10,klassikatähed; ebapopulaarne; oboemängija; hobi
3,3,4,3,2,4,3,3,1,10,klassikatähed; ebapopulaarne; oboemängija; hobi
2,2,4,2,2,3,4,3,2,10,klassikatähed; ebapopulaarne; oboemängija; hobi
2,3,3,2,2,2,4,3,2,10,klassikatähed; ebapopulaarne; oboemängija; hobi
3,2,3,3,2,2,4,4,2,10,klassikatähed; ebapopulaarne; hobi; oboemängija
2,2,3,3,2,2,4,3,2,10,klassikatähed; ebapopulaarne; hobi; oboemängija
