EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,1,0,0,1,2,2,1,12,keraamika; savinõu; kivi
0,1,1,0,0,1,2,2,1,12,keraamika; savinõu; kivi
0,1,1,0,0,1,2,2,1,12,keraamika; savinõu; kivi
0,1,1,0,0,1,2,2,1,12,keraamika; savinõu; kivi
0,1,1,0,0,1,2,2,1,12,keraamika; savinõu; kivi
0,1,1,0,0,1,2,2,1,12,keraamika; savinõu; kivi
0,1,1,0,0,1,2,2,1,12,keraamika; savinõu; kivi
0,1,1,0,0,1,2,2,1,12,keraamika; savinõu; kivi
0,1,1,0,0,1,2,2,1,12,keraamika; savinõu; kivi
0,1,1,0,0,1,2,2,1,12,keraamika; savinõu; kivi
0,1,1,0,0,1,2,2,1,12,keraamika; savinõu; kivi
