EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,0,0,2,0,1,0,0,13,reguleerimata; masside; maksimeerimine
2,0,0,0,2,0,1,0,0,13,reguleerimata; masside; maksimeerimine
2,0,0,0,2,0,1,0,0,13,reguleerimata; masside; maksimeerimine
2,0,0,0,2,0,1,0,0,13,reguleerimata; masside; maksimeerimine
2,0,0,0,2,0,1,0,0,13,reguleerimata; masside; maksimeerimine
2,0,0,0,2,0,1,0,0,13,reguleerimata; masside; maksimeerimine
2,0,0,0,2,0,1,0,0,13,reguleerimata; masside; maksimeerimine
2,0,0,1,2,0,1,0,0,13,reguleerimata; masside; maksimeerimine
2,0,0,1,2,0,1,0,0,13,reguleerimata; masside; maksimeerimine
2,0,0,1,2,0,1,0,0,13,reguleerimata; masside; maksimeerimine
1,0,0,0,2,0,0,0,0,13,masside; maksimeerimine
