EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,1,6,2,2,3,2,2,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
4,1,6,2,2,3,2,2,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
4,1,6,2,2,3,2,2,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
4,1,6,2,2,3,2,2,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
4,1,4,2,2,3,2,2,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
4,1,5,2,2,3,1,2,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; diktatuur
4,1,5,2,2,3,1,2,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; diktatuur
4,1,5,2,2,2,1,3,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
4,1,4,1,2,1,1,3,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
3,1,3,2,1,1,1,1,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
4,1,4,1,1,1,1,2,0,13,luuletaja; autor; reisimine; reaalsusest; keskpärane; kesk-aasia; jevgeni; tõlge; diktatuur
