EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,2,1,2,2,1,2,10,traditsioon; laulupidu; repertuaar
3,2,2,2,1,2,2,1,2,10,traditsioon; laulupidu; repertuaar
3,2,2,2,1,2,2,1,2,10,traditsioon; laulupidu; repertuaar
3,2,2,2,1,2,2,1,2,10,traditsioon; laulupidu; repertuaar
3,2,2,2,1,2,2,1,2,10,traditsioon; laulupidu; repertuaar
3,2,2,2,1,2,2,1,2,10,traditsioon; laulupidu; repertuaar
3,2,2,2,1,2,2,1,2,10,traditsioon; laulupidu; repertuaar
2,2,2,2,1,2,2,1,2,10,traditsioon; laulupidu; repertuaar
2,2,2,3,1,1,3,1,2,10,traditsioon; laulupidu; repertuaar
2,2,2,2,1,1,3,1,2,10,traditsioon; laulupidu; repertuaar
2,2,2,2,1,1,3,1,2,10,traditsioon; laulupidu; repertuaar
