EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,2,2,2,2,2,1,0,12,mäng; varrukas; eluga; saatus; laul
3,1,2,2,2,2,2,1,0,12,mäng; varrukas; eluga; saatus; laul
3,1,2,2,2,2,2,1,0,12,mäng; varrukas; eluga; saatus; laul
3,1,2,2,2,2,2,1,0,12,mäng; varrukas; eluga; saatus; laul
3,1,2,2,2,2,2,1,0,12,mäng; varrukas; eluga; saatus; laul
3,1,2,2,2,2,2,1,0,12,mäng; varrukas; eluga; saatus; laul
3,1,2,2,2,2,2,1,0,12,mäng; varrukas; eluga; saatus; laul
3,1,2,2,2,2,2,1,0,12,mäng; varrukas; eluga; saatus; laul
3,1,2,2,2,2,2,1,0,12,mäng; varrukas; eluga; saatus; laul
3,1,2,2,2,2,2,1,0,12,mäng; varrukas; eluga; saatus; laul
3,1,2,2,2,2,2,1,0,12,mäng; varrukas; eluga; saatus; laul
