EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,4,8,5,5,3,3,5,4,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
8,4,8,5,5,3,3,5,4,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
8,4,8,5,5,3,3,5,4,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
8,4,8,5,5,3,3,5,4,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
8,4,8,5,5,3,3,5,4,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
8,4,8,5,5,3,3,5,4,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
8,4,8,5,5,3,3,5,4,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
8,4,8,5,5,3,3,5,4,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
8,4,8,5,5,3,3,5,4,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
8,4,8,5,5,3,3,5,4,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
8,4,8,5,5,3,3,5,4,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
