EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,3,5,3,5,5,5,3,12,kriska; narva; kivi; aivar; keraamika; savinõu
5,6,3,5,3,5,5,5,3,12,kriska; narva; kivi; aivar; keraamika; savinõu
5,6,3,5,3,5,5,5,3,12,kriska; narva; kivi; aivar; keraamika; savinõu
5,6,3,5,3,5,5,5,3,12,kriska; narva; kivi; aivar; keraamika; savinõu
5,6,3,5,3,5,5,5,3,12,kriska; narva; kivi; aivar; keraamika; savinõu
5,6,3,5,3,5,5,5,3,12,kriska; narva; kivi; aivar; keraamika; savinõu
5,6,3,5,3,5,5,5,3,12,kriska; narva; kivi; aivar; keraamika; savinõu
5,6,3,5,3,5,5,5,3,12,kriska; narva; kivi; aivar; keraamika; savinõu
5,6,3,5,3,5,5,5,3,12,kriska; narva; kivi; aivar; keraamika; savinõu
5,6,3,5,3,5,5,5,3,12,kriska; narva; kivi; aivar; keraamika; savinõu
5,6,3,5,3,5,5,5,3,12,kriska; narva; kivi; aivar; keraamika; savinõu
