EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,0,2,0,3,4,4,2,5,15,park; amsterdam; luksuslik; paruness; fantaasiapidu; loss; ehitama; restaureerimistöö; värvitoon; sisekujundus; haldjas
6,1,2,0,3,4,5,2,5,15,park; amsterdam; luksuslik; paruness; fantaasiapidu; loss; ehitama; restaureerimistöö; värvitoon; sisekujundus; haldjas
4,2,3,0,3,4,5,1,5,15,park; amsterdam; luksuslik; paruness; fantaasiapidu; loss; ehitama; restaureerimistöö; värvitoon; sisekujundus; haldjas
4,2,4,0,3,2,5,0,5,15,park; amsterdam; luksuslik; paruness; fantaasiapidu; loss; ehitama; restaureerimistöö; värvitoon; sisekujundus; haldjas
4,2,4,0,3,2,3,0,5,15,park; amsterdam; paruness; fantaasiapidu; loss; ehitama; restaureerimistöö; värvitoon; sisekujundus; haldjas
4,2,4,0,5,3,2,0,5,15,park; amsterdam; paruness; fantaasiapidu; loss; ehitama; restaureerimistöö; värvitoon; sisekujundus; haldjas
3,3,3,2,3,2,3,2,5,15,park; amsterdam; paruness; fantaasiapidu; loss; ehitama; restaureerimistöö; värvitoon; sisekujundus
1,3,2,2,3,2,3,4,4,15,park; amsterdam; paruness; fantaasiapidu; loss; restaureerimistöö; värvitoon; sisekujundus; haldjas
1,3,1,2,4,3,3,3,4,15,park; amsterdam; paruness; fantaasiapidu; loss; restaureerimistöö; värvitoon; sisekujundus
0,3,1,3,4,3,3,3,3,15,park; paruness; fantaasiapidu; loss; amsterdam; värvitoon; sisekujundus
1,3,3,3,5,4,2,3,5,15,park; amsterdam; paruness; fantaasiapidu; loss; restaureerimistöö; värvitoon; sisekujundus; haldjas
