EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,5,3,5,7,5,4,4,10,kirik; palve; sisemus; jumal; aamen; peegel; mõtisklus
6,3,5,3,5,7,5,4,4,10,kirik; palve; sisemus; jumal; aamen; peegel; mõtisklus
6,3,5,3,5,7,5,4,4,10,kirik; palve; sisemus; jumal; aamen; peegel; mõtisklus
6,3,5,3,5,7,5,4,4,10,kirik; palve; sisemus; jumal; aamen; peegel; mõtisklus
6,3,5,3,5,7,5,4,4,10,kirik; palve; sisemus; jumal; aamen; peegel; mõtisklus
6,3,5,3,5,7,5,4,4,10,kirik; palve; sisemus; jumal; aamen; peegel; mõtisklus
6,3,5,3,5,7,5,4,4,10,kirik; palve; sisemus; jumal; aamen; peegel; mõtisklus
6,3,5,3,5,7,5,4,4,10,kirik; palve; sisemus; jumal; aamen; peegel; mõtisklus
6,3,5,3,5,7,5,4,4,10,kirik; palve; sisemus; jumal; aamen; peegel; mõtisklus
6,3,5,3,5,7,5,4,4,10,kirik; palve; sisemus; jumal; aamen; peegel; mõtisklus
6,3,5,3,5,7,5,4,4,10,kirik; palve; sisemus; jumal; aamen; peegel; mõtisklus
