EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,2,3,1,1,1,2,5,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
2,3,2,3,1,1,1,2,4,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
2,3,2,3,1,1,1,2,4,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
2,3,2,3,1,1,1,2,4,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
2,3,2,3,1,1,1,3,4,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
3,3,4,3,1,3,1,4,4,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
4,4,3,4,1,4,4,3,4,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
3,4,4,4,0,2,4,3,3,12,majandus; eesti; eurotsoon; kroon; sotsiaalne
2,4,2,3,0,3,4,3,5,12,majandus; eesti; eurotsoon; kroon; sotsiaalne
2,3,2,2,0,3,2,5,5,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
3,4,2,2,0,4,4,4,5,12,majandus; eesti; eurotsoon; kroon; föderatsioon; sotsiaalne
