EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,5,6,4,6,5,4,0,11,antenn; valgus; signaal; alar; marek; elektronkiir
6,6,5,6,4,6,5,4,0,11,antenn; valgus; signaal; alar; marek; elektronkiir
6,6,5,6,4,6,5,4,0,11,antenn; valgus; signaal; alar; marek; elektronkiir
6,6,5,6,4,6,5,4,0,11,antenn; valgus; signaal; alar; marek; elektronkiir
6,6,5,6,4,6,5,4,0,11,antenn; valgus; signaal; alar; marek; elektronkiir
6,6,5,6,4,6,5,4,0,11,antenn; valgus; signaal; alar; marek; elektronkiir
6,6,5,6,4,6,5,4,0,11,antenn; valgus; signaal; alar; marek; elektronkiir
6,6,5,6,4,6,5,4,0,11,antenn; valgus; signaal; alar; marek; elektronkiir
6,6,5,6,4,6,5,3,0,11,antenn; valgus; signaal; alar; marek; elektronkiir
6,6,5,6,4,6,5,3,0,11,antenn; valgus; signaal; alar; marek; elektronkiir
6,6,5,6,4,6,5,4,0,11,antenn; valgus; signaal; alar; marek; elektronkiir
