EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,2,1,1,0,0,2,0,13,elizabeth; esselink; solex
2,1,2,1,1,0,0,2,0,13,elizabeth; esselink; solex
2,1,2,1,1,0,0,2,0,13,elizabeth; esselink; solex
2,1,2,1,1,0,0,2,0,13,elizabeth; esselink; solex
2,0,2,1,1,0,0,2,0,13,elizabeth; esselink; solex
2,0,2,1,1,0,0,2,0,13,elizabeth; esselink; solex
2,1,2,2,1,2,0,2,0,13,elizabeth; esselink; solex
1,0,2,2,1,2,0,1,0,13,elizabeth; esselink; süntesaator
0,1,2,1,1,2,0,1,0,13,elizabeth; esselink
0,1,2,1,1,0,0,1,0,13,elizabeth; esselink
0,1,2,1,1,1,0,1,0,13,elizabeth; esselink
