EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,3,1,2,2,3,3,3,12,jõud; maagiline; keel; sõna
2,4,3,1,2,2,3,2,3,12,jõud; maagiline; keel; sõna
2,4,3,1,2,2,3,2,3,12,jõud; maagiline; keel; sõna
2,4,4,1,2,2,3,2,3,12,jõud; maagiline; keel; sõna
2,4,4,1,2,2,3,2,3,12,jõud; maagiline; keel; sõna
3,4,4,1,2,3,3,2,3,12,jõud; maagiline; keel; sõna
2,4,4,2,2,4,3,3,3,12,jõud; maagiline; keel; sõna
2,4,3,2,2,4,4,4,2,12,jõud; maagiline; keel; sõna
2,2,4,2,2,4,4,2,2,12,jõud; maagiline; keel; sõna
2,2,3,2,2,2,4,3,2,12,jõud; maagiline; keel; sõna
2,2,2,2,2,3,3,3,2,12,jõud; maagiline; keel; sõna
