EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,7,7,7,7,7,7,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
7,7,7,7,7,7,7,7,7,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
7,7,7,7,7,7,7,7,7,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
7,7,7,7,7,7,7,7,7,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
7,7,7,7,7,7,7,7,7,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
7,7,7,7,7,7,7,7,7,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
7,7,7,7,7,7,7,7,7,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
7,7,7,7,7,7,7,7,7,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
7,7,7,7,7,7,7,7,7,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
7,7,7,7,7,7,7,7,7,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
7,7,7,7,7,7,7,7,7,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
