EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,11,12,6,10,11,12,11,12,juubel; nukuteater; eero; hääl; televisioon; buratino; ferdinand; raadio; kultuuriminister; kuuldemäng; sepling; veike
11,11,11,12,6,10,11,12,11,12,juubel; nukuteater; eero; hääl; televisioon; buratino; ferdinand; raadio; kultuuriminister; kuuldemäng; sepling; veike
11,11,11,12,6,10,11,12,11,12,juubel; nukuteater; eero; hääl; televisioon; buratino; ferdinand; raadio; kultuuriminister; kuuldemäng; sepling; veike
11,11,11,12,8,10,11,12,11,12,juubel; nukuteater; eero; hääl; televisioon; buratino; ferdinand; raadio; kultuuriminister; kuuldemäng; sepling; veike
12,11,11,12,9,12,11,12,11,12,juubel; nukuteater; eero; hääl; televisioon; buratino; ferdinand; raadio; kultuuriminister; kuuldemäng; sepling; veike
12,11,12,12,9,12,12,12,11,12,juubel; nukuteater; eero; hääl; televisioon; buratino; ferdinand; raadio; kultuuriminister; kuuldemäng; sepling; veike
11,11,12,10,11,12,12,12,11,12,juubel; nukuteater; eero; hääl; televisioon; buratino; ferdinand; raadio; kultuuriminister; kuuldemäng; sepling; veike
10,11,12,11,11,12,12,12,11,12,juubel; nukuteater; eero; hääl; televisioon; buratino; ferdinand; raadio; kultuuriminister; kuuldemäng; sepling; veike
7,11,12,11,11,11,11,11,11,12,juubel; nukuteater; eero; hääl; televisioon; buratino; ferdinand; raadio; kultuuriminister; kuuldemäng; sepling; veike
8,10,12,10,10,11,11,11,12,12,juubel; nukuteater; eero; hääl; televisioon; buratino; ferdinand; raadio; kultuuriminister; kuuldemäng; sepling; veike
7,10,12,10,12,10,10,11,12,12,juubel; nukuteater; eero; hääl; televisioon; buratino; ferdinand; raadio; kultuuriminister; kuuldemäng; sepling; veike
