EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,8,9,7,7,7,8,7,13,tõlge; kannatus; luuletaja; kesk-aasia; diktatuur; reisimine; sissov; reaalsus; autor
9,9,8,9,7,7,7,8,7,13,tõlge; kannatus; luuletaja; kesk-aasia; diktatuur; reisimine; sissov; reaalsus; autor
9,9,8,9,7,8,7,8,7,13,tõlge; kannatus; luuletaja; kesk-aasia; diktatuur; reisimine; sissov; reaalsus; autor
8,9,8,9,7,8,7,8,7,13,tõlge; kannatus; luuletaja; kesk-aasia; diktatuur; reisimine; sissov; reaalsus; autor
8,9,8,9,7,8,7,9,8,13,tõlge; kannatus; luuletaja; kesk-aasia; diktatuur; reisimine; sissov; reaalsus; autor
8,9,9,9,8,8,9,9,9,13,tõlge; kannatus; luuletaja; kesk-aasia; diktatuur; reisimine; sissov; reaalsus; autor
9,9,9,9,9,8,9,9,9,13,tõlge; kannatus; luuletaja; kesk-aasia; diktatuur; reisimine; sissov; reaalsus; autor
8,9,9,9,9,8,8,9,9,13,tõlge; kannatus; luuletaja; kesk-aasia; diktatuur; reisimine; sissov; reaalsus; autor
8,9,9,9,9,8,8,9,9,13,tõlge; kannatus; luuletaja; diktatuur; reisimine; kesk-aasia; sissov; reaalsus; autor
8,9,9,8,9,9,8,9,9,13,tõlge; kannatus; luuletaja; diktatuur; reisimine; kesk-aasia; sissov; reaalsus; autor
8,9,9,8,9,9,9,9,9,13,tõlge; kannatus; luuletaja; diktatuur; reisimine; kesk-aasia; sissov; reaalsus; autor
