EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,9,10,9,9,10,9,13,üksinda; aasta; uus; iraan; kodu; popiidol; kana; trump; televisioon; senjorii
10,10,10,9,10,9,9,10,9,13,üksinda; aasta; uus; iraan; kodu; popiidol; kana; trump; televisioon; senjorii
10,10,10,9,10,9,9,10,9,13,üksinda; aasta; uus; iraan; kodu; popiidol; kana; trump; televisioon; senjorii
10,10,10,9,10,10,10,10,9,13,üksinda; aasta; uus; iraan; kodu; popiidol; kana; trump; televisioon; senjorii
10,8,10,9,10,10,10,9,9,13,üksinda; aasta; uus; iraan; kodu; popiidol; kana; trump; televisioon; senjorii
10,8,10,9,10,9,10,9,9,13,üksinda; aasta; uus; iraan; kodu; popiidol; kana; trump; televisioon; senjorii
10,8,10,9,10,9,10,10,9,13,üksinda; aasta; uus; iraan; kodu; popiidol; kana; trump; televisioon; senjorii
10,8,10,8,10,9,10,10,9,13,üksinda; aasta; uus; iraan; kodu; popiidol; kana; trump; televisioon; senjorii
10,8,8,10,9,9,10,10,9,13,üksinda; aasta; uus; iraan; kodu; popiidol; kana; trump; televisioon; senjorii
10,8,8,10,10,9,9,10,9,13,üksinda; aasta; uus; iraan; kodu; popiidol; kana; trump; televisioon; senjorii
10,8,10,9,10,9,9,10,9,13,üksinda; aasta; uus; iraan; kodu; popiidol; kana; trump; televisioon; senjorii
