EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,0,0,1,1,0,0,0,0,12,ink; surnu; ant; linn
3,0,0,1,1,0,0,0,1,12,ink; surnu; ant; linn
3,0,0,1,1,0,0,0,1,12,ink; surnu; ant; linn
3,0,0,1,1,0,0,0,1,12,ink; surnu; ant; linn
3,0,0,1,1,0,0,0,0,12,ink; surnu; ant; linn
3,0,0,1,1,0,0,0,0,12,ink; surnu; ant; linn
3,0,0,1,1,0,0,0,0,12,ink; surnu; ant; linn
3,0,0,1,1,0,0,0,0,12,surnu; ink; linn
3,0,0,0,1,0,0,1,0,12,ink; linn; chachapoyas; surnu
1,0,1,0,1,0,0,1,0,12,ink; chachapoyas; ant
1,0,1,0,1,0,0,0,0,12,ink; chachapoyas
