EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,3,1,0,1,3,2,0,11,teadus; üliintellekt; püha; usutunne; religioon; jõuluaeg
1,2,3,1,0,1,3,2,0,11,teadus; üliintellekt; püha; usutunne; religioon; jõuluaeg
1,2,3,1,0,1,3,2,0,11,teadus; üliintellekt; püha; usutunne; religioon; jõuluaeg
1,2,3,1,0,1,3,2,0,11,teadus; üliintellekt; püha; usutunne; religioon; jõuluaeg
1,2,3,1,0,1,3,2,0,11,teadus; üliintellekt; püha; usutunne; religioon; jõuluaeg
0,1,4,1,0,1,2,2,0,11,üliintellekt; püha; usutunne; religioon; jõuluaeg
2,1,2,0,0,3,2,2,0,11,teadus; püha; usutunne; religioon; jõuluaeg; vaim
2,3,2,0,0,2,1,2,0,11,jõuluaeg; teadus; üliintellekt; püha; religioon; sekularism
0,2,0,1,0,3,3,2,0,11,püha; religioon; jõuluaeg; vaim
2,1,1,0,0,5,1,2,0,11,üliintellekt; püha; tehnoloogiline; jõuluaeg; vaim; kunst; religioon
1,1,1,0,0,4,4,2,2,11,üliintellekt; teadus; püha; filosoofia; jõuluaeg; vaim; religioon
