EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,6,1,2,3,5,5,2,2,13,seadusriik; jumalik; demokraatia; autoriteet; bürokraatia; seadus; euroopa; vähemus; liit
2,6,1,2,3,5,5,2,2,13,seadusriik; jumalik; demokraatia; autoriteet; bürokraatia; seadus; euroopa; vähemus; liit
2,6,1,2,3,5,5,2,2,13,seadusriik; jumalik; demokraatia; autoriteet; bürokraatia; seadus; euroopa; vähemus; liit
2,6,1,2,3,5,5,2,2,13,seadusriik; jumalik; demokraatia; autoriteet; bürokraatia; seadus; euroopa; vähemus; liit
2,6,1,2,3,5,5,2,2,13,seadusriik; jumalik; demokraatia; autoriteet; bürokraatia; seadus; euroopa; vähemus; liit
2,6,1,2,3,5,5,2,2,13,seadusriik; jumalik; demokraatia; autoriteet; bürokraatia; seadus; euroopa; vähemus; liit
2,6,1,2,3,5,5,2,2,13,seadusriik; jumalik; demokraatia; autoriteet; bürokraatia; seadus; euroopa; vähemus; liit
2,6,1,2,3,5,5,2,2,13,seadusriik; jumalik; demokraatia; autoriteet; bürokraatia; seadus; euroopa; vähemus; liit
2,6,1,2,3,5,5,2,2,13,seadusriik; jumalik; demokraatia; autoriteet; bürokraatia; seadus; euroopa; vähemus; liit
2,6,1,2,3,5,5,2,2,13,seadusriik; jumalik; demokraatia; autoriteet; bürokraatia; seadus; euroopa; vähemus; liit
2,6,1,2,3,5,5,2,2,13,seadusriik; jumalik; demokraatia; autoriteet; bürokraatia; seadus; euroopa; vähemus; liit
