EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,3,2,2,1,2,3,2,13,teema-aasta; kreutzwald; keskus; identiteet; eesti; seminar
0,2,3,2,2,1,2,3,2,13,teema-aasta; kreutzwald; keskus; identiteet; eesti; seminar
0,2,3,2,2,1,2,3,3,13,kreutzwald; keskus; eesti; teema-aasta; identiteet; seminar
0,2,3,2,2,1,2,3,4,13,kreutzwald; keskus; eesti; teema-aasta; identiteet; seminar
0,2,3,2,2,1,2,3,4,13,kreutzwald; keskus; eesti; teema-aasta; identiteet; seminar
0,2,3,2,2,1,2,3,4,13,kreutzwald; keskus; eesti; teema-aasta; identiteet; seminar
0,2,3,2,2,1,2,3,3,13,kreutzwald; keskus; eesti; teema-aasta; identiteet; seminar
0,2,3,2,2,1,2,3,3,13,kreutzwald; keskus; eesti; teema-aasta; identiteet; seminar
1,2,3,2,1,3,3,3,4,13,kreutzwald; keskus; eesti; teema-aasta; seminar
1,2,3,2,1,4,3,3,3,13,kreutzwald; keskus; eesti; teema-aasta; seminar
1,2,3,2,2,4,3,3,3,13,kreutzwald; keskus; eesti; teema-aasta; identiteet; seminar
