EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,2,1,1,1,1,1,1,11,hunt; alfa; kutsikas
1,1,2,1,1,1,1,1,1,11,hunt; alfa; kutsikas
1,1,2,1,1,1,1,1,1,11,hunt; alfa; kutsikas
1,1,2,1,1,1,1,1,2,11,kutsikas; hunt; alfa
1,1,2,1,1,1,1,1,1,11,hunt; alfa; kutsikas
1,1,1,1,1,1,1,1,1,11,hunt; alfa
0,1,1,2,1,2,1,1,2,11,jahimees; hunt; alfa
0,1,1,1,1,1,1,1,2,11,hunt; alfa
1,1,0,2,2,1,1,1,2,11,territoorium; hunt; alfa
0,0,0,2,1,0,1,1,2,11,territoorium; hunt; alfa
1,1,0,1,0,0,1,1,2,11,hunt; alfa
