EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,9,9,9,9,9,9,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
9,9,9,9,9,9,9,9,9,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
9,9,9,9,9,9,9,9,9,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
9,9,9,9,9,9,9,9,9,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
9,9,9,9,9,9,9,9,9,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
9,9,9,9,9,9,9,9,9,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
9,9,9,9,9,9,9,9,9,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
9,9,9,9,9,9,9,9,9,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
9,9,9,9,9,9,9,9,9,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
9,9,9,9,9,9,9,9,9,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
9,9,9,9,9,9,9,9,9,11,kineskooptelekas; strandberg; elektronkiir; antenn; vasak; valgus; alar; marek; signaal
