EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,2,2,1,1,0,1,5,11,töölisnaine; kirjanik; eesti; sõjakoledus; sõdur; piloot; hingekell; vaenlane; muuseum
3,4,3,2,2,1,0,1,5,11,töölisnaine; kirjanik; eesti; sõjakoledus; sõdur; piloot; hingekell; vaenlane; muuseum
3,4,3,2,2,1,0,1,4,11,töölisnaine; kirjanik; eesti; sõjakoledus; sõdur; piloot; hingekell; vaenlane; muuseum
3,4,3,2,2,2,0,1,5,11,töölisnaine; kirjanik; eesti; sõjakoledus; sõdur; piloot; hingekell; vaenlane; muuseum
3,4,2,2,1,2,2,4,6,11,töölisnaine; kirjanik; eesti; sõjakoledus; sõdur; piloot; hingekell; vaenlane; muuseum
2,4,1,2,2,2,4,2,4,11,töölisnaine; kirjanik; eesti; sõjakoledus; sõdur; piloot; hingekell; vaenlane; muuseum
2,3,0,3,2,2,3,3,4,11,töölisnaine; kirjanik; eesti; sõjakoledus; sõdur; piloot; hingekell; vaenlane
2,3,2,6,2,2,3,1,4,11,töölisnaine; kirjanik; eesti; sõdur; piloot; hingekell; vaenlane; muuseum
1,3,1,5,2,3,3,1,3,11,töölisnaine; kirjanik; eesti; sõdur; piloot; hingekell; vaenlane; muuseum
1,1,2,5,1,4,3,1,3,11,eesti; kirjanik; töölisnaine; sõdur; piloot; hingekell; vaenlane; muuseum
0,0,0,4,1,4,4,1,4,11,eesti; kirjanik; töölisnaine; sõdur; piloot; hingekell; vaenlane; volga; muuseum
